user_id,bookmark
942,68201
875,67978
875,69680
875,67257
875,67956
875,71979
875,66721
875,68170
875,87178
945,67165
945,67513
945,67513
945,68170
945,68170
1059,70993
1059,71979
1059,69870
1059,67978
1059,71655
1059,72978
1102,68779
1102,68758
1102,68798
1102,68036
1102,70173
1102,69093
1102,68988
860,68509
1009,69536
1009,67455
104,71937
957,67165
957,71430
866,66734
866,67266
866,71655
866,68036
866,69093
201,44897
201,25336
201,42683
201,48358
201,1901
201,702
201,1612
1027,64059
1027,87190
846,5610
1092,79780
1092,80641
1092,80631
1092,82430
1092,83417
1092,83757
1092,83731
1116,48358
1217,87782
1217,91541
1217,92413
1207,3372
1266,87754
1166,88034
1166,87434
1166,87414
1142,63615
1142,43391
1142,87407
1153,87420
1153,23211
1179,24946
1179,24946
1179,63796
1179,63701
1179,87202
1179,90975
1160,63600
1163,49015
1163,49180
1139,49049
1181,87414
1126,87407
1267,87407
1232,623
1232,44897
1156,42642
1161,87434
1161,87414
1161,87418
1161,90975
1185,87531
1144,87414
1144,87434
1144,87418
1144,87754
1144,92621
1144,92621
1176,87531
1176,90862
1176,87473
1147,87531
1132,87414
1165,87434
1130,48823
1130,87422
1158,87416
1158,87501
1158,87267
1158,87420
1158,90862
1158,87887
1158,90975
1158,91386
1158,63586
1135,87420
1135,87416
1169,87420
1169,87416
1169,90862
1133,87434
1133,90975
1133,90975
1133,90975
1133,90975
1133,90975
1292,87418
1286,87418
1286,72541
1286,72451
1286,67257
1286,91055
1286,91922
1286,91330
1286,91063
1286,90875
1286,90862
1286,92621
1152,87414
1137,87416
1137,87420
1253,90171
1134,87409
1134,87407
1134,87572
1134,87456
1192,87409
1293,64979
1222,90171
1295,90171
1295,92254
1274,90171
1157,90862
1178,92621
1187,90975
1187,87414
1184,90975
1184,87754
1184,92621
1167,87414
1167,90975
1300,91500
1226,91857
1249,91367
1249,63694
1141,90975
1191,92254
1191,92274
1175,90948
442,91541
830,91541
1146,90862
1149,87531
1188,87473
1302,87501
1172,87414
1213,5498
